,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
40,5,AAA,1.0,4091.0,1781.0,1299.0,1640,BMW,Z Reihe,Z85,2495.0,0.1392857142857143,2.0,1,250.0,PETROL
41,5,AAB,1.0,4091.0,1781.0,1299.0,1600,BMW,Z Reihe,Z85,2495.0,0.09558823529411764,2.0,1,229.0,PETROL
42,5,AAC,1.0,4091.0,1781.0,1299.0,1620,BMW,Z Reihe,Z85,2495.0,0.1161524500907441,2.0,1,240.0,PETROL
43,5,AAD,1.0,4091.0,1781.0,1299.0,1620,BMW,Z Reihe,Z85,2495.0,0.11252268602540835,2.0,1,240.0,PETROL
44,5,AAE,1.0,4239.0,1748.0,1421.0,1800,BMW,1er Reihe,187,2660.0,0.07734806629834254,5.0,1,210.0,PETROL
45,5,AAF,1.0,4091.0,1781.0,1283.0,1680,BMW,Z Reihe,Z85,2495.0,0.13829787234042554,2.0,1,250.0,PETROL
47,5,AAH,1.0,4227.0,1751.0,1430.0,1875,BMW,1er Reihe,187,2660.0,0.13448275862068965,5.0,1,250.0,PETROL
49,5,AAJ,1.0,4227.0,1751.0,1430.0,1775,BMW,1er Reihe,187,2660.0,0.08193668528864059,5.0,1,217.0,PETROL
50,5,AAK,1.0,4227.0,1751.0,1430.0,1760,BMW,1er Reihe,187,2660.0,0.07142857142857142,5.0,1,208.0,PETROL
52,5,AAM,1.0,4227.0,1751.0,1430.0,1745,BMW,1er Reihe,187,2660.0,0.06439393939393939,5.0,1,200.0,PETROL
59,5,AAT,1.0,4091.0,1781.0,1299.0,1520,BMW,Z Reihe,Z85,2495.0,0.08494208494208494,2.0,1,220.0,PETROL
62,5,AAW,1.0,4843.0,1846.0,1491.0,2180,BMW,5er Reihe,560L,2886.0,0.0790273556231003,5.0,1,227.0,PETROL
63,5,AAX,1.0,4843.0,1846.0,1491.0,2320,BMW,5er Reihe,560L,2886.0,0.14754098360655737,5.0,1,250.0,PETROL
65,5,AAZ,1.0,4843.0,1846.0,1491.0,2190,BMW,5er Reihe,560L,2886.0,0.1144578313253012,5.0,1,250.0,PETROL
66,5,ABA,1.0,4843.0,1846.0,1491.0,2230,BMW,5er Reihe,560L,2886.0,0.09566517189835576,5.0,1,240.0,PETROL
68,5,ABC,1.0,4841.0,1846.0,1468.0,2030,BMW,5er Reihe,560L,2888.0,0.08360128617363344,5.0,1,235.0,PETROL
69,5,ABD,1.0,4841.0,1846.0,1468.0,2090,BMW,5er Reihe,560L,2888.0,0.10142630744849446,5.0,1,245.0,PETROL
71,5,ABF,1.0,4841.0,1846.0,1468.0,2220,BMW,5er Reihe,560L,2888.0,0.13005780346820808,5.0,1,250.0,PETROL
72,5,ABG,1.0,4841.0,1846.0,1468.0,2220,BMW,5er Reihe,560L,2888.0,0.15561959654178675,5.0,1,250.0,PETROL
75,5,ABJ,1.0,4841.0,1846.0,1468.0,2060,BMW,5er Reihe,560L,2888.0,0.12101910828025478,5.0,1,250.0,PETROL
76,5,ABK,1.0,4843.0,1846.0,1491.0,2185,BMW,5er Reihe,560L,2886.0,0.09393939393939393,5.0,1,239.0,PETROL
79,5,ABN,1.0,4841.0,1846.0,1468.0,2505,BMW,5er Reihe,560L,2888.0,0.13267813267813267,5.0,1,240.0,PETROL
81,5,ABP,1.0,4841.0,1846.0,1468.0,2055,BMW,5er Reihe,560L,2888.0,0.09935897435897435,5.0,1,242.0,PETROL
87,5,ABV,1.0,4841.0,1846.0,1468.0,2350,BMW,5er Reihe,560L,2888.0,0.1,4.0,1,210.0,PETROL
89,5,ABX,1.0,4520.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.0625,5.0,1,206.0,PETROL
90,5,ABY,1.0,4520.0,1817.0,1409.0,1870,BMW,3er Reihe,390L,2760.0,0.08912280701754385,5.0,1,225.0,PETROL
98,5,ACG,1.0,5179.0,1902.0,1491.0,2530,BMW,7er Reihe,765,3128.0,0.13466334164588528,5.0,1,250.0,PETROL
99,5,ACH,1.0,5179.0,1902.0,1491.0,2680,BMW,7er Reihe,765,3128.0,0.14746335963923338,5.0,1,250.0,PETROL
