abi_code,INFORCE,MARKET_QTY
100101, -   ,16
100201, -   ,60
100301, -   ,36
100302, -   ,57
100401, -   ,33
100501, -   ,20
100601, -   ,60
100602, -   ,8
100701, -   ,25
100801, -   ,68
100901, -   ,0
101001, -   ,7
101101, -   ,49
101201,1,188
101202,4,61
101301,1,77
101302,1,93
101401, -   ,20
101501, -   ,27
101601,2,182
101602,12,401
101701,3,63
101702,4,235
101801, -   ,22
101901,7,360
101902,3,57
102001,3,175
102002, -   ,260
102101,4,22
102102, -   ,86
102201, -   ,70
102301, -   ,7
102302,3,209
102401,1,1
102501, -   ,51
102601,1,79
102602,3,54
102701,2,70
102702,3,132
102801, -   ,68
102802,4,122
102901,3,117
103001,4,49
103101,1,23
103102,5,76
103201, -   ,51
103301,6,142
103302,2,69
103401,11,121
103501,3,19
103601, -   ,19
103602,1,1
103701,4,70
103702,4,29
103801,3,63
103901, -   ,0
104001,4,4
104101,4,101
104102, -   ,0
104201,18,184
104202,1,21
104301,10,839
104302,8,199
104401,7,84
104402, -   ,3
104501,33,70
104601,22,304
104602, -   ,36
104603,1,224
104604,3,263
104605,1,237
104606,1,10
104607,10,385
104608,11,155
104609,7,252
104610,21,361
104611,25,341
104612,49,49
104613,12,15
104614,6,265
104615,49,199
104616,5,117
104617,6,21
104618,21,226
104619,6,44
104620,2,18
104621,4,25
104622,2,14
104623,2,69
104624,38,295
104625,86,474
104626,36,197
104627,128,782
104628,0,"1,201"
104629,5,41
104630,3,34
104631,13,256
104632, -   ,9
104633, -   ,0
104634,11,134
104635,23,78
104636,16,289
104637, -   ,119
104638,58,457
104639,18,393
104640,40,283
104641,92,401
104642,48,310
104643,21,459
104644,2,541
104645,13,77
104646,25,113
104647,2,997
104648,4,316
104649,30,386
104650,34,"1,347"
104651,10,57
104652,14,201
104653, -   ,76
104654,79,281
104655,38,755
104656,30,115
104657,4,39
104658, -   ,2
104659,9,188
104660,19,229
104661,27,316
104662,30,70
104663,13,55
104664,1,1
104665,60,180
104666,40,118
104667,8,81
104668, -   ,0
104669,2,2
104670,2,2
104671,4,4
104672,3,35
104673, -   ,0
104674, -   ,0
104675,6,19
104676,13,107
104677,10,10
104678,6,6
104679, -   ,0
104680,10,63
104681,1,1
104682,6,6
104683,9,56
104684,7,44
104685,23,269
104686,57,490
104687,28,194
104688,6,21
104689,61,456
104690,49,623
104691,0,62
104692,93,324
104693,3,22
104694,11,28
104695,2,22
104696,95,331
104697,22,302
104698,77,454
104699,9,21
104700,6,14
104701,17,106
104702,4,8
104703,3,22
104704,12,42
104705,8,61
104706,71,414
104707,43,450
104708,9,46
104709,6,9
104710,1,12
104711,7,107
104712,17,142
104713,9,75
104714,34,146
104715,7,320
104716,1,8
104717,5,19
104718,6,40
104719,12,68
104720,19,114
104721,24,101
104722,32,98
104723,61,204
104724,5,27
104725,61,465
104726,20,84
104727,7,213
104728,15,45
104729,3,11
104730,5,200
104731,6,39
104732,2,24
104733,1,5
104734,100,274
104735,24,181
104736,13,197
104737,69,801
104738, -   ,10
104739, -   ,58
104740, -   ,1
104741, -   ,0
104742, -   ,12
104743,2,34
104744,3,3
104745, -   ,0
104746, -   ,0
104747, -   ,0
104748, -   ,0
300101, -   ,6
300102, -   ,22
300201, -   ,7
300301,2,13
300401, -   ,17
300501,1,68
300601,1,32
300701, -   ,27
400101,2,213
400102, -   ,1
400103, -   ,0
400201,1,99
400301,28,401
400401,24,260
400501,17,423
400601,12,299
400701,11,174
400801, -   ,0
400901, -   ,0
401001, -   ,0
401101, -   ,0
401201,1,374
401301, -   ,0
401401,92,842
401501,85,373
401601,3,660
401701, -   ,223
401801,2,2
401901,3,3
402001,1,284
402101,4,433
500101, -   ,0
500201, -   ,0
500301, -   ,0
500401, -   ,0
500402, -   ,0
500501, -   ,0
500601, -   ,0
500701, -   ,0
500801, -   ,0
500901, -   ,0
501101, -   ,0
501301, -   ,0
501801, -   ,0
502001, -   ,0
502201, -   ,0
502301, -   ,0
502501, -   ,0
502701, -   ,0
502801, -   ,0
503301, -   ,0
503401, -   ,0
503501, -   ,0
503701, -   ,0
504201, -   ,0
504401, -   ,0
504601, -   ,0
505101, -   ,0
505501, -   ,0
505901, -   ,0
600101, -   ,0
700101,4,71
700201,8,164
700301,4,223
700302,1,1
700303, -   ,0
700401, -   ,0
700501,1,395
700601,14,"1,172"
700701,7,7
700801,8,472
700901,1,14
701001,2,2
701101,7,"1,038"
701201,9,329
701301,20,"1,102"
701401,15,881
701402,1,1
701501,48,"1,674"
701601,21,286
701701,12,52
701801,25,889
701802, -   ,0
701901,3,"1,007"
702001,23,"5,688"
702101,1,418
702201,42,535
702301,142,142
702401,9,398
702501,13,221
702601,2,137
702701,1,8
702801, -   ,786
702901,2,8
703001,121,"2,121"
703002,5,137
703003,10,103
703101,27,247
703102,6,27
703201, -   ,7
703301,3,71
703401,11,490
703501,2,11
703601,1,25
703701,1,351
703801,6,397
703901,14,548
703902,1,178
704001,26,582
704002,6,22
704101,8,935
704102,4,235
704201,1,31
704301,12,234
704302,9,134
704401, -   ,0
704501,107,107
704502, -   ,496
704503,2,11
704601,75,"2,367"
704602, -   ,205
704701,1,304
704801,33,67
704901,53,367
705001,27,386
705101,4,44
705201,1,56
705301,6,6
705401,12,12
705501, -   ,0
705601,0,299
705701, -   ,159
705801, -   ,11
705802,9,115
705901,40,491
