,Manufacturer Identification Number,Model Identification Numer,HSN_TSN,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
36,4,AAA,4_AAA,,3720,1790,1950,750,WÜRZ,1;1D;2D;2D+G;3D;3D+G;3D+G,H,,0,,,,
38,4,AAC,4_AAC,,3990,1790,1980,750,WÜRZ,3DJ;3D GJ;4DS;4D GS;4D;..,HT,3085,0,,,140,
39,4,AAD,4_AAD,,3720,1790,1980,750,WÜRZ,1;1D;2D;2D G;3D;3D G;...,H,2540,0,,,140,
40,5,AAA,5_AAA,1,4091,1781,1299,1640,BMW,Z Reihe,Z85,2495,0.1392857142857143,2,1,250,Petrol
41,5,AAB,5_AAB,1,4091,1781,1299,1600,BMW,Z Reihe,Z85,2495,0.09558823529411764,2,1,229,Petrol
42,5,AAC,5_AAC,1,4091,1781,1299,1620,BMW,Z Reihe,Z85,2495,0.1161524500907441,2,1,240,Petrol
43,5,AAD,5_AAD,1,4091,1781,1299,1620,BMW,Z Reihe,Z85,2495,0.11252268602540835,2,1,240,Petrol
44,5,AAE,5_AAE,1,4239,1748,1421,1800,BMW,1er Reihe,187,2660,0.07734806629834254,5,1,210,Petrol
45,5,AAF,5_AAF,1,4091,1781,1283,1680,BMW,Z Reihe,Z85,2495,0.13829787234042554,2,1,250,Petrol
46,5,AAG,5_AAG,1,4227,1751,1430,1810,BMW,1er Reihe,187,2660,0.06498194945848375,5,2,201, Diesel
47,5,AAH,5_AAH,1,4227,1751,1430,1875,BMW,1er Reihe,187,2660,0.13448275862068965,5,1,250,Petrol
48,5,AAI,5_AAI,1,4227,1751,1430,1850,BMW,1er Reihe,187,2660,0.07746478873239436,5,2,217, Diesel
49,5,AAJ,5_AAJ,1,4227,1751,1430,1775,BMW,1er Reihe,187,2660,0.08193668528864059,5,1,217,Petrol
50,5,AAK,5_AAK,1,4227,1751,1430,1760,BMW,1er Reihe,187,2660,0.07142857142857142,5,1,208,Petrol
51,5,AAL,5_AAL,1,4227,1751,1430,1850,BMW,1er Reihe,187,2660,0.08450704225352113,5,2,220, Diesel
52,5,AAM,5_AAM,1,4227,1751,1430,1745,BMW,1er Reihe,187,2660,0.06439393939393939,5,1,200,Petrol
53,5,AAN,5_AAN,1,4227,1751,1430,1810,BMW,1er Reihe,187,2660,0.06425992779783393,5,2,201, Diesel
54,5,AAO,5_AAO,,2230,785,1180,450,BMW,"K 1200 R Sport,K 1200 R",K12R,1580,0.502092050209205,2,1,264,Petrol
55,5,AAP,5_AAP,,2230,785,1180,450,BMW,"K 1200 R,K 1200 R Sport",K12R,1580,0.3305439330543933,2,1,220,Petrol
56,5,AAQ,5_AAQ,,2355,795,1485,520,BMW,K 1200 GT,K12S,1571,0.3971631205673759,2,1,252,Petrol
57,5,AAR,5_AAR,,2220,735,1220,450,BMW,K 1200 S,K12S,1571,0.4959677419354839,2,1,280,Petrol
58,5,AAS,5_AAS,,2355,795,1485,520,BMW,K 1200 GT;K 1200 S,K12S,1571,0.2981132075471698,2,1,225,Petrol
59,5,AAT,5_AAT,1,4091,1781,1299,1520,BMW,Z Reihe,Z85,2495,0.08494208494208494,2,1,220,Petrol
60,5,AAU,5_AAU,,2250,990,1525,475,BMW,"R 1200 GS Adventure,R 120",R12,1520,0.2975206611570248,2,1,207,Petrol
61,5,AAV,5_AAV,,2250,950,1470,475,BMW,R 1200 GS;R 1200 GS Adven,R12,1520,0.3076923076923077,2,1,208,Petrol
62,5,AAW,5_AAW,1,4843,1846,1491,2180,BMW,5er Reihe,560L,2886,0.0790273556231003,5,1,227,Petrol
63,5,AAX,5_AAX,1,4843,1846,1491,2320,BMW,5er Reihe,560L,2886,0.14754098360655737,5,1,250,Petrol
64,5,AAY,5_AAY,1,4841,1846,1468,2160,BMW,5er Reihe,560L,2888,0.09309309309309309,5,2,244, Diesel
65,5,AAZ,5_AAZ,1,4843,1846,1491,2190,BMW,5er Reihe,560L,2886,0.1144578313253012,5,1,250,Petrol
66,5,ABA,5_ABA,1,4843,1846,1491,2230,BMW,5er Reihe,560L,2886,0.09566517189835576,5,1,240,Petrol
67,5,ABB,5_ABB,1,4843,1846,1491,2220,BMW,5er Reihe,560L,2886,0.0712166172106825,5,2,220, Diesel
68,5,ABC,5_ABC,1,4841,1846,1468,2030,BMW,5er Reihe,560L,2888,0.08360128617363344,5,1,235,Petrol
69,5,ABD,5_ABD,1,4841,1846,1468,2090,BMW,5er Reihe,560L,2888,0.10142630744849446,5,1,245,Petrol
70,5,ABE,5_ABE,1,4843,1846,1491,2300,BMW,5er Reihe,560L,2886,0.08831908831908832,5,2,236, Diesel
71,5,ABF,5_ABF,1,4841,1846,1468,2220,BMW,5er Reihe,560L,2888,0.13005780346820808,5,1,250,Petrol
